File with results:  out,,,,,Filtered,B,0.1,,,,,,,,,,,,,,,,
22.756,0,0,,,22.756,0,,,,,,,,,,,,,,,,,
22.833,0,0,,,22.833,0,,,,,,,,,,,,,,,,,
22.907,0,0,,,22.907,0,,,,,,,,,,,,,,,,,
23.041,0,0,,,23.041,0,,,,,,,,,,,,,,,,,
23.107,0,0,,,23.107,0,,,,,,,,,,,,,,,,,
23.18,0,0,,,23.18,0,,,,,,,,,,,,,,,,,
23.247,0,0,,,23.247,0,,,,,,,,,,,,,,,,,
23.327,0,0,,,23.327,0,,,,,,,,,,,,,,,,,
23.662,0,0,,,23.662,0,,,,,,,,,,,,,,,,,
23.728,0,0,,,23.728,0,,,,,,,,,,,,,,,,,
23.8,0,0,,,23.8,0,,,,,,,,,,,,,,,,,
23.969,0,0,,,23.969,0,,,,,,,,,,,,,,,,,
24.04,0,0,,,24.04,0,,,,,,,,,,,,,,,,,
24.115,0,0,,,24.115,0,,,,,,,,,,,,,,,,,
24.276,0,0,,,24.276,0,,,,,,,,,,,,,,,,,
24.347,0,0,,,24.347,0,,,,,,,,,,,,,,,,,
24.416,0,0,,,24.416,0,,,,,,,,,,,,,,,,,
24.491,0,0,,,24.491,0,,,,,,,,,,,,,,,,,
24.556,0,0,,,24.556,0,,,,,,,,,,,,,,,,,
24.659,0,0,,,24.659,0,,,,,,,,,,,,,,,,,
24.937,0,0,,,24.937,0,,,,,,,,,,,,,,,,,
25.011,0,0,,,25.011,0,,,,,,,,,,,,,,,,,
25.082,0,0,,,25.082,0,,,,,,,,,,,,,,,,,
25.151,0,0,,,25.151,0,,,,,,,,,,,,,,,,,
25.221,0,0,,,25.221,0,,,,,,,,,,,,,,,,,
25.293,0,0,,,25.293,0,,,,,,,,,,,,,,,,,
25.358,0,0,,,25.358,0,,,,,,,,,,,,,,,,,
25.436,0,0,,,25.436,0,,,,,,,,,,,,,,,,,
25.496,0,0,,,25.496,0,,,,,,,,,,,,,,,,,
25.563,0,0,,,25.563,0,,,,,,,,,,,,,,,,,
25.642,0,0,,,25.642,0,,,,,,,,,,,,,,,,,
25.713,0,0,,,25.713,0,,,,,,,,,,,,,,,,,
25.784,0,0,,,25.784,0,,,,,,,,,,,,,,,,,
25.856,0,0,,,25.856,0,,,,,,,,,,,,,,,,,
25.926,0,0,,,25.926,0,,,,,,,,,,,,,,,,,
25.995,0,0,,,25.995,0,,,,,,,,,,,,,,,,,
26.07,0,0,,,26.07,0,,,,,,,,,,,,,,,,,
26.426,0,0,,,26.426,0,,,,,,,,,,,,,,,,,
26.496,0,0,,,26.496,0,,,,,,,,,,,,,,,,,
26.569,0,0,,,26.569,0,,,,,,,,,,,,,,,,,
26.645,0,0,,,26.645,0,,,,,,,,,,,,,,,,,
26.711,0,0,,,26.711,0,,,,,,,,,,,,,,,,,
27.035,0,0,,,27.035,0,,,,,,,,,,,,,,,,,
27.104,0,0,,,27.104,0,,,,,,,,,,,,,,,,,
27.172,0,0,,,27.172,0,,,,,,,,,,,,,,,,,
27.243,0,0,,,27.243,0,,,,,,,,,,,,,,,,,
27.308,0,0,,,27.308,0,,,,,,,,,,,,,,,,,
27.38,0,0,,,27.38,0,,,,,,,,,,,,,,,,,
27.451,0,0,,,27.451,0,,,,,,,,,,,,,,,,,
27.527,0,0,,,27.527,0,,,,,,,,,,,,,,,,,
27.6,0,0,,,27.6,0,,,,,,,,,,,,,,,,,
27.672,0,0,,,27.672,0,,,,,,,,,,,,,,,,,
27.742,0,0,,,27.742,0,,,,,,,,,,,,,,,,,
27.812,0,0,,,27.812,0,,,,,,,,,,,,,,,,,
27.88,0,0,,,27.88,0,,,,,,,,,,,,,,,,,
27.949,0,0,,,27.949,0,,,,,,,,,,,,,,,,,
28.02,0,0,,,28.02,0,,,,,,,,,,,,,,,,,
28.084,0,0,,,28.084,0,,,,,,,,,,,,,,,,,
28.262,0,0,,,28.262,0,,,,,,,,,,,,,,,,,
28.33,0,0,,,28.33,0,,,,,,,,,,,,,,,,,
28.399,0,0,,,28.399,0,,,,,,,,,,,,,,,,,
28.472,0,0,,,28.472,0,,,,,,,,,,,,,,,,,
28.547,0,0,,,28.547,0,,,,,,,,,,,,,,,,,
28.879,0,0,,,28.879,0,,,,,,,,,,,,,,,,,
28.947,0,0,,,28.947,0,,,,,,,,,,,,,,,,,
29.022,0,0,,,29.022,0,,,,,,,,,,,,,,,,,
29.089,0,0,,,29.089,0,,,,,,,,,,,,,,,,,
29.159,0,0,,,29.159,0,,,,,,,,,,,,,,,,,
29.23,0,0,,,29.23,0,,,,,,,,,,,,,,,,,
29.3,0,0,,,29.3,0,,,,,,,,,,,,,,,,,
29.39,0,0,,,29.39,0,,,,,,,,,,,,,,,,,
29.461,0,0,,,29.461,0,,,,,,,,,,,,,,,,,
29.529,0,0,,,29.529,0,,,,,,,,,,,,,,,,,
29.6,0,0,,,29.6,0,,,,,,,,,,,,,,,,,
29.672,0,0,,,29.672,0,,,,,,,,,,,,,,,,,
29.742,0,0,,,29.742,0,,,,,,,,,,,,,,,,,
29.808,0,0,,,29.808,0,,,,,,,,,,,,,,,,,
29.884,0,0,,,29.884,0,,,,,,,,,,,,,,,,,
29.957,0,0,,,29.957,0,,,,,,,,,,,,,,,,,
30.025,0,0,,,30.025,0,,,,,,,,,,,,,,,,,
30.1,0,0,,,30.1,0,,,,,,,,,,,,,,,,,
30.168,0,0,,,30.168,0,,,,,,,,,,,,,,,,,
